Run;Accuracy;Precision_Macro;Recall_Macro;F1_Macro;Train_Samples;Test_Samples;Hyperparameters;vectorization_time_sec;training_time_sec;evaluation_time_sec
run_01_100k;0.7440444444444444;0.526740381509179;0.4512154316485551;0.4479145347863408;210000;45000;hidden_units: 256 | dropout_rate: 0.3 | learning_rate: 0.0001 | batch_size: 128 | epochs_trained: 6 | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;12.607550144195557;98.74361395835876;1.787339687347412
run_02_2000k;0.7566240800873474;0.563194592493641;0.494501593847225;0.5070611862138016;3291069;705230;hidden_units: 256 | dropout_rate: 0.3 | learning_rate: 0.0001 | batch_size: 128 | epochs_trained: 7 | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;151.65247082710266;1836.193388938904;26.783809900283813
run_03_2000k;0.7517462388157056;0.5590407121665153;0.4783220383110119;0.4885134845709092;3291069;705230;hidden_units: 256 | dropout_rate: 0.3 | learning_rate: 0.005 | batch_size: 128 | epochs_trained: 6 | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;150.14020371437073;1557.2529010772705;29.099748134613037
run_04_2000k;0.7502304212810005;0.5520672724928879;0.4711531763907314;0.487919745903248;3291069;705230;hidden_units: 512 | dropout_rate: 0.3 | learning_rate: 0.005 | batch_size: 128 | epochs_trained: 7 | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;151.73095393180847;3412.687936067581;88.80992221832275
run_05_2000k;0.7567474440962523;0.5628741233105341;0.4923285270230183;0.5051627566765242;3291069;705230;hidden_units: 256 | dropout_rate: 0.3 | learning_rate: 0.0001 | batch_size: 256 | epochs_trained: 7 | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;155.47250890731812;1252.4638962745669;28.60922884941101
run_06_2000k;0.7568651361967018;0.5664543574347376;0.488426051088836;0.4997097527260118;3291069;705230;hidden_units: 256 | dropout_rate: 0.2 | learning_rate: 0.0001 | batch_size: 128 | epochs_trained: 6 | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;153.81236696243286;1575.9365689754486;28.405545949935913
run_07_2000k;0.653944103342172;0.4817225591377431;0.5518751721183186;0.5054109538262699;3291069;705230;hidden_units: 256 | dropout_rate: 0.3 | learning_rate: 0.0001 | batch_size: 128 | epochs_trained: 4 | class_weight: balanced | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;151.3690299987793;1086.010500907898;27.638044834136963
run_08_30000k;0.7818800017964579;0.5769783892486563;0.4882726751161715;0.5036334707868835;21612885;4631336;hidden_units: 256 | dropout_rate: 0.3 | learning_rate: 0.0001 | batch_size: 128 | epochs_trained: 9 | class_weight: None | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;1041.4517941474915;18194.58209490776;263.649297952652
