Run;Accuracy;Precision_Macro;Recall_Macro;F1_Macro;Train_Samples;Test_Samples;Hyperparameters;vectorization_time_sec;training_time_sec;evaluation_time_sec
run_01_50k;0.7309333333333333;0.5139543429575986;0.4434634350181002;0.4352020965032038;140000;30000;hidden_units: 256 | dropout_rate: 0.3 | learning_rate: 0.001 | batch_size: 128 | epochs_trained: 4 | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;24.388291597366333;71.87666988372803;3.2456064224243164
run_02_250k;0.74848;0.5416273081199992;0.4667677590601342;0.4779364562261248;700000;150000;hidden_units: 256 | dropout_rate: 0.3 | learning_rate: 0.001 | batch_size: 128 | epochs_trained: 5 | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;91.29603171348572;396.64332485198975;12.343586683273315
run_03_1250k;0.7665628322825094;0.5671607175144933;0.4765052009583764;0.4853961210991128;3116069;667730;hidden_units: 256 | dropout_rate: 0.3 | learning_rate: 0.001 | batch_size: 128 | epochs_trained: 5 | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;657.901956319809;2632.3699672222137;69.28791046142578
run_04_1250k;0.766997139562398;0.5654200237967045;0.4805771173152394;0.4976614535840012;3116069;667730;hidden_units: 256 | dropout_rate: 0.3 | learning_rate: 0.0005 | batch_size: 128 | epochs_trained: 5 | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;367.4033930301666;2019.489515542984;61.34028339385986
run_05_1250k;0.7673940065595375;0.5670491527231531;0.48441277957635254;0.5023712234363439;3116069;667730;hidden_units: 512 | dropout_rate: 0.3 | learning_rate: 0.0005 | batch_size: 128 | epochs_trained: 5 | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;359.484735250473;3541.3887252807617;90.38428401947021
