Run;Accuracy;Precision_Macro;Recall_Macro;F1_Macro;Train_Samples;Test_Samples;Hyperparameters;vectorization_time_sec;training_time_sec;evaluation_time_sec
run_01_100k;0.7396;0.5360785893872372;0.4477522531755704;0.4657186120541438;240000;60000;C: 1.0 | max_iter: 1000 | solver: saga | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;13.48403787612915;3.88149619102478;0.0797340869903564
run_02_2000k;0.7480894517316703;0.5576638092039106;0.4704527118915521;0.4860750229122083;3761222;940306;C: 1.0 | max_iter: 1000 | solver: saga | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;164.51800084114075;82.511057138443;1.187946081161499
run_03_2000k;0.7479246117753157;0.5589776221328486;0.468556047075719;0.4844737488782614;3761222;940306;C: 0.5 | max_iter: 1000 | solver: saga | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;160.33682298660278;68.632395029068;1.171332836151123
run_04_2000k;0.748008626978877;0.5561409039879266;0.4712821312178414;0.4866344154054582;3761222;940306;C: 2.0 | max_iter: 1000 | solver: saga | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;161.4649260044098;80.50651216506958;1.1629719734191897
run_05_2000k;0.7478448505061118;0.5570391518464464;0.4714356644619448;0.4870942070054195;3761222;940306;C: 2.0 | max_iter: 1000 | solver: lbfgs | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;159.2839241027832;187.17640280723572;1.1471240520477295
run_06_2000k;0.5943246134768895;0.4898118397861181;0.5017253217353483;0.4387500960259635;3761222;940306;C: 1.0 | max_iter: 1000 | solver: saga | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;162.04216027259827;3202.5439550876617;1.175889015197754
run_07_30000k;0.7697285490530374;0.5679135700770317;0.46371277090680857;0.4816032500823241;24700441;6175112;C: 1.0 | max_iter: 1000 | solver: saga | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;1174.4013438224792;480.9660029411316;7.374502182006836
