Run;Accuracy;Precision_Macro;Recall_Macro;F1_Macro;Train_Samples;Test_Samples;Hyperparameters
run_01_50k;0.7323666666666667;0.5366880659762961;0.4359273450310343;0.4497633295748368;140000;30000;hidden_units: 256 | dropout_rate: 0.3 | learning_rate: 0.001 | batch_size: 128 | epochs_trained: 4 | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False
run_02_250k;0.74932;0.5470748136742001;0.4676009093552323;0.4795572818427628;700000;150000;hidden_units: 256 | dropout_rate: 0.3 | learning_rate: 0.001 | batch_size: 128 | epochs_trained: 5 | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False
run_03_1250k;0.765933835532326;0.5623270173870718;0.48263289349033534;0.4983291544648182;3116069;667730;hidden_units: 256 | dropout_rate: 0.3 | learning_rate: 0.001 | batch_size: 128 | epochs_trained: 5 | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False
