Run;Accuracy;Precision_Macro;Recall_Macro;F1_Macro;Train_Samples;Test_Samples;Hyperparameters;vectorization_time_sec;training_time_sec;evaluation_time_sec
run_01_50k;0.727925;0.5336110492786232;0.4378957821097765;0.4608459534227099;160000;40000;C: 1 | max_iter: 1000 | solver: saga | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;28.48625016212464;5.495212554931641;0.0660116672515869
run_02_250k;0.74392;0.5418137612226241;0.4596041157373801;0.478312888651172;800000;200000;C: 1 | max_iter: 1000 | solver: saga | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;104.87049198150636;30.91805577278137;0.3123984336853027
run_03_1250k;0.7581224882231502;0.5601319210697214;0.4686095040532082;0.4867652124873587;3561222;890306;C: 1 | max_iter: 1000 | solver: saga | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;419.9295411109924;138.94039058685303;1.3880643844604492
run_04_1250k;0.7580270154306497;0.5618477205400926;0.4667180766656752;0.4852833677606842;3561222;890306;C: 0.5 | max_iter: 1000 | solver: saga | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;410.203469991684;137.42638874053955;1.361344814300537
run_05_1250k;0.7580270154306497;0.5586133287025976;0.4694856113214315;0.4872803231174515;3561222;890306;C: 2.0 | max_iter: 1000 | solver: saga | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;410.6496934890747;135.1459999084473;1.35302472114563
run_06_1250k;0.757897846358443;0.5603745591145282;0.467909485888231;0.4863243132526415;3561222;890306;C: 1.0 | max_iter: 1000 | solver: lbfgs | max_features: 10000 | min_df: 2 | max_df: 0.95 | ngram_range: (1, 2) | stop_words: english | sublinear_tf: False;411.3313031196594;328.4829251766205;1.343034267425537
